Gene_Symbol,ES3
KIAA0556,-0.534638796
DTNBP1,-0.283589192
ANO2,-0.91280516
C12orf4,0.82541333
SCML1,-0.250400853
WWC3,0.493673953
ARHGAP6,-0.782047806
FAM184B,-0.536884268
MAP4,0.867269443
GOPC,0.662311666
ROS1,-0.894428923
USP28,-0.466144985
HDAC9,-0.707212217
TSPAN17,0.083035929
NOP16,1.480257576
CC2D2A,0.083724892
RRM2B,-0.703378918
ZNF800,-0.213807205
TNFRSF17,-0.837356078
SNX29,-0.496592833
LMO3,1.148682702
MRPS10,2.180419197
GUCA1A,-0.827089435
RSF1,1.4091337
VPS13D,0.021928376
CELF2,-0.791505058
FAM120A,1.442876851
R3HDM1,0.996711406
COL9A2,-0.784314736
KITLG,-0.787115549
ERCC8,0.509127044
ADAMTS6,-0.842335967
H6PD,0.229593678
VAMP3,1.431881697
PER3,-0.832213301
UTS2,2.508567377
TNFRSF9,-0.89160398
EPN3,-0.720049594
SRD5A2,-0.741008458
LTBP1,-0.187456625
ELN,-0.769101985
RFC2,1.294330844
ARID1B,1.14900033
CLPTM1L,2.230671179
NEDD4L,0.047773642
FOXP3,-0.889570681
PPP1R3F,-0.558244577
HEXB,1.55716881
PTCD2,-0.227269517
KIAA2022,-0.242206517
JKAMP,0.732586792
DKK3,-0.771809263
ARHGEF5,-0.74940391
NFE2L3,-0.755650523
CCDC90A,1.674516657
LIMA1,1.762548334
LETMD1,0.563719989
SLC4A8,-0.812283308
LAMC3,-0.871207167
PTGER3,0.815865197
TNIP3,-0.798426197
MAPK9,0.100656398
COL23A1,-1.044680097
BCAR1,-0.458253356
FAM160A2,0.241551051
HERPUD1,2.196750184
HOMER3,0.039854396
RAD51,0.216073915
POLQ,-0.067706384
PIK3CB,-0.356989371
CYBA,2.032789099
HEBP2,0.268599563
MPHOSPH9,-0.632953926
PLEKHA5,0.263944463
PRSS8,-0.776282821
SIKE1,0.7924014
RRP12,0.572820978
FNIP2,0.442847698
MSMO1,0.95801639
TTC17,1.646759445
ALX4,-0.902406671
FSTL4,-0.842921357
FOXN3,1.093327849
METTL24,-0.82518154
AKR7A2,1.428462766
MRTO4,1.494378227
NNAT,-0.754839953
USE1,1.589685105
MCF2L2,-0.851736471
NRIP2,-0.77681048
LAMA3,-0.931458419
AP5M1,0.412074555
ANAPC4,1.598923629
KCNQ1,-0.816400678
TRAPPC3,2.427499353
THRAP3,0.537323935
PHPT1,2.802714385
ENTPD2,-0.832135864
ARID4B,0.238943271
OPN3,1.693915218
SDCCAG8,0.756443946
PTPRN,-0.785502511
HHAT,-0.51949372
KIF1B,0.608293752
FOXC1,-0.579201202
TBC1D22A,-0.259870269
SYNE2,0.180965087
PLEKHH1,-0.96760403
ATP9A,-0.146866984
SPO11,-0.887936238
CBLN4,-0.815084914
CHRDL2,-0.889115077
FAM168A,-0.558376683
RELT,-0.794541321
GALC,-0.832066234
NOP58,2.697407892
SZRD1,0.592146582
KCNH2,0.48388733
CUL1,2.45492952
FAM114A2,1.089109994
CYFIP2,1.401775078
TAB2,0.50537758
GINM1,0.909798022
EIF2AK2,0.997260973
USP36,0.140647849
MLL3,0.965769962
MCOLN3,-0.689592963
CCDC85A,-0.965124905
PUM2,1.064173988
MRPL43,0.934026914
ITIH1,-0.899889668
C4orf27,2.105094669
ZFR,1.231873446
ZNF280C,-0.453240511
NPFFR2,-0.863824389
PHF21B,-0.554520072
TRAF1,-0.772750961
RC3H2,1.338122008
PCGF2,-0.026108398
IL17RB,-0.665206924
TRAF3IP2,-0.146057572
GYG2,-0.368227316
DCBLD2,-0.064218275
SERPINB3,-0.83644762
SOAT1,0.20335454
PKP2,0.865075976
MSH4,-0.953733536
F7,-0.835339831
GDI2,2.686025102
PRDM1,-0.806192961
ATG5,1.225161012
TMCC3,-0.801728629
PITHD1,2.071424235
MTA3,1.20687684
USP13,0.885675793
ATP11B,0.368745562
LAMC2,-0.766629098
